FIPS,Deaths,Population,Crude_Rate
"12051",Suppressed,39119,Suppressed

"12053",14,178439,Unreliable

"12055",Suppressed,99491,Suppressed

"12057",122,1349050,9.0

"12059",Suppressed,19324,Suppressed

"12061",Suppressed,147919,Suppressed

"12063",Suppressed,48599,Suppressed

"12065",Suppressed,14081,Suppressed

"12067",Suppressed,8663,Suppressed

"12069",12,325875,Unreliable

"12071",86,701982,12.3

"12073",Suppressed,286272,Suppressed

"12075",Suppressed,39832,Suppressed

"12077",Suppressed,8331,Suppressed

"12079",Suppressed,18408,Suppressed

"12081",125,363369,34.4

"12083",17,343254,Unreliable

"12085",Suppressed,156283,Suppressed

"12086",135,2693117,5.0

"12087",Suppressed,77482,Suppressed

"12089",Suppressed,78444,Suppressed

"12091",40,198664,20.1

"12093",Suppressed,39469,Suppressed

"12095",156,1288126,12.1

"12097",33,323993,10.2

"12099",139,1422789,9.8

"12101",42,497909,8.4

"12103",64,949827,6.7

"12105",33,650092,5.1

"12107",Suppressed,72023,Suppressed

"12109",14,226640,Unreliable

"12111",10,298563,Unreliable

"12113",20,167040,12.0

"12115",81,405549,20.0

"12117",50,449144,11.1

"12119",Suppressed,118891,Suppressed

"12121",Suppressed,43760,Suppressed

"12123",Suppressed,22493,Suppressed

"12125",Suppressed,15234,Suppressed

"12127",85,517887,16.4

"12129",Suppressed,31535,Suppressed

"12131",Suppressed,63508,Suppressed

"12133",Suppressed,24687,Suppressed

"13001",Suppressed,18454,Suppressed

"13003",Suppressed,8398,Suppressed

"13005",Suppressed,11299,Suppressed

"13007",Suppressed,3180,Suppressed

"13009",Suppressed,45459,Suppressed

"13011",Suppressed,18495,Suppressed

"13013",Suppressed,75370,Suppressed

"13015",14,102747,Unreliable

"13017",Suppressed,17403,Suppressed

"13019",Suppressed,18963,Suppressed

"13021",Suppressed,153721,Suppressed

"13023",Suppressed,12243,Suppressed

"13025",Suppressed,18455,Suppressed

"13027",Suppressed,15658,Suppressed

"13029",Suppressed,35137,Suppressed

"13031",Suppressed,72651,Suppressed

"13033",Suppressed,22745,Suppressed

"13035",Suppressed,23593,Suppressed

"13037",Suppressed,6479,Suppressed

"13039",Suppressed,52102,Suppressed

"13043",Suppressed,10886,Suppressed

"13045",11,114545,Unreliable

"13047",Suppressed,66050,Suppressed

"13049",Suppressed,12965,Suppressed

"13051",17,286956,Unreliable

"13053",Suppressed,11368,Suppressed

"13055",Suppressed,24922,Suppressed

"13057",41,235900,17.4

"13059",Suppressed,123912,Suppressed

"13061",Suppressed,3141,Suppressed

"13063",18,273955,Unreliable

"13065",Suppressed,6893,Suppressed

"13067",88,741334,11.9

"13069",Suppressed,43108,Suppressed

"13071",Suppressed,45844,Suppressed

"13073",15,144052,Unreliable

"13075",Suppressed,17124,Suppressed

"13077",10,138427,Unreliable

"13079",Suppressed,12388,Suppressed

"13081",Suppressed,22881,Suppressed

"13083",Suppressed,16264,Suppressed

"13085",Suppressed,23312,Suppressed

"13087",Suppressed,27174,Suppressed

"13089",52,734871,7.1

"13091",Suppressed,20882,Suppressed

"13093",Suppressed,14035,Suppressed

"13095",Suppressed,91332,Suppressed

"13097",14,140733,Unreliable

"13099",Suppressed,10575,Suppressed

"13101",Suppressed,4040,Suppressed

"13103",Suppressed,57106,Suppressed

"13105",Suppressed,19364,Suppressed

"13107",Suppressed,22708,Suppressed

"13109",Suppressed,10787,Suppressed

"13111",Suppressed,24303,Suppressed

"13113",11,110714,Unreliable

"13115",Suppressed,96504,Suppressed

"13117",26,212438,12.2

"13119",Suppressed,22311,Suppressed

"13121",97,1010562,9.6

"13123",Suppressed,29400,Suppressed

"13125",Suppressed,3065,Suppressed

"13127",Suppressed,83579,Suppressed

"13129",Suppressed,56574,Suppressed

"13131",Suppressed,25205,Suppressed

"13133",Suppressed,16710,Suppressed

"13135",72,895823,8.0

"13137",Suppressed,43996,Suppressed

"13139",11,193535,Unreliable

"13141",Suppressed,8551,Suppressed

"13143",Suppressed,28854,Suppressed

"13145",Suppressed,33381,Suppressed

"13147",Suppressed,25534,Suppressed

"13149",Suppressed,11539,Suppressed

"13151",16,217739,Unreliable

"13153",Suppressed,150033,Suppressed

"13155",Suppressed,9245,Suppressed

"13157",15,63360,Unreliable

"13159",Suppressed,13635,Suppressed

"13161",Suppressed,14920,Suppressed

"13163",Suppressed,16106,Suppressed

"13165",Suppressed,8957,Suppressed

"13167",Suppressed,9656,Suppressed

"13169",Suppressed,28494,Suppressed

"13171",Suppressed,18201,Suppressed

"13173",Suppressed,10312,Suppressed

"13175",Suppressed,47731,Suppressed

"13177",Suppressed,29202,Suppressed

"13179",Suppressed,62467,Suppressed

"13181",Suppressed,7673,Suppressed

"13183",Suppressed,17731,Suppressed

"13185",Suppressed,112865,Suppressed

"13187",Suppressed,31408,Suppressed

"13189",Suppressed,21540,Suppressed

"13191",Suppressed,13969,Suppressed

"13193",Suppressed,13632,Suppressed

"13195",Suppressed,28441,Suppressed

"13197",Suppressed,8761,Suppressed

"13199",Suppressed,21190,Suppressed

"13201",Suppressed,5854,Suppressed

"13205",Suppressed,22574,Suppressed

"13207",Suppressed,27103,Suppressed

"13209",Suppressed,8951,Suppressed

"13211",Suppressed,18046,Suppressed

"13213",Suppressed,39565,Suppressed

"13215",Suppressed,200579,Suppressed

"13217",Suppressed,105473,Suppressed

"13219",Suppressed,35965,Suppressed

"13221",Suppressed,14871,Suppressed

"13223",21,152238,13.8

"13225",Suppressed,26720,Suppressed

"13227",Suppressed,30309,Suppressed

"13229",Suppressed,19103,Suppressed

"13231",Suppressed,17941,Suppressed

"13233",Suppressed,41524,Suppressed

"13235",Suppressed,11396,Suppressed

"13237",Suppressed,21353,Suppressed

"13239",Suppressed,2302,Suppressed

"13241",Suppressed,16281,Suppressed

"13243",Suppressed,7193,Suppressed

"13245",27,201793,13.4

"13247",Suppressed,88856,Suppressed

"13249",Suppressed,5168,Suppressed

"13251",Suppressed,14162,Suppressed

"13253",Suppressed,8647,Suppressed

"13255",Suppressed,64051,Suppressed

"13257",Suppressed,25586,Suppressed

"13259",Suppressed,5851,Suppressed

"13261",Suppressed,30779,Suppressed

"13263",Suppressed,6337,Suppressed

"13265",Suppressed,1639,Suppressed

"13267",Suppressed,25229,Suppressed

"13269",Suppressed,8330,Suppressed

"13271",Suppressed,16400,Suppressed

"13273",Suppressed,9113,Suppressed

"13275",Suppressed,45063,Suppressed

"13277",Suppressed,40764,Suppressed

"13279",Suppressed,27241,Suppressed

"13281",Suppressed,11182,Suppressed

"13283",Suppressed,6785,Suppressed

"13285",Suppressed,69763,Suppressed

"13287",Suppressed,8214,Suppressed

"13289",Suppressed,8390,Suppressed

"13291",Suppressed,22267,Suppressed

